text,aspectTerms/aspectTerm/0/_term,aspectTerms/aspectTerm/0/_polarity,aspectTerms/aspectTerm/0/_from,aspectTerms/aspectTerm/0/_to,aspectCategories/aspectCategory/0/_category,aspectCategories/aspectCategory/0/_polarity,_id,aspectCategories/aspectCategory/1/_category,aspectCategories/aspectCategory/1/_polarity,aspectTerms/aspectTerm/1/_term,aspectTerms/aspectTerm/1/_polarity,aspectTerms/aspectTerm/1/_from,aspectTerms/aspectTerm/1/_to,aspectTerms/aspectTerm/2/_term,aspectTerms/aspectTerm/2/_polarity,aspectTerms/aspectTerm/2/_from,aspectTerms/aspectTerm/2/_to,aspectTerms/aspectTerm/3/_term,aspectTerms/aspectTerm/3/_polarity,aspectTerms/aspectTerm/3/_from,aspectTerms/aspectTerm/3/_to,aspectTerms/aspectTerm/4/_term,aspectTerms/aspectTerm/4/_polarity,aspectTerms/aspectTerm/4/_from,aspectTerms/aspectTerm/4/_to,aspectTerms/aspectTerm/5/_term,aspectTerms/aspectTerm/5/_polarity,aspectTerms/aspectTerm/5/_from,aspectTerms/aspectTerm/5/_to,aspectTerms/aspectTerm/6/_term,aspectTerms/aspectTerm/6/_polarity,aspectTerms/aspectTerm/6/_from,aspectTerms/aspectTerm/6/_to,aspectCategories/aspectCategory/2/_category,aspectCategories/aspectCategory/2/_polarity,aspectTerms/aspectTerm/7/_term,aspectTerms/aspectTerm/7/_polarity,aspectTerms/aspectTerm/7/_from,aspectTerms/aspectTerm/7/_to,aspectCategories/aspectCategory/3/_category,aspectCategories/aspectCategory/3/_polarity,aspectTerms/aspectTerm/8/_term,aspectTerms/aspectTerm/8/_polarity,aspectTerms/aspectTerm/8/_from,aspectTerms/aspectTerm/8/_to
For two people with tip was less than $25 bucks.,tip,neutral,20,23,price,positive,3570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killer Sushi!,Sushi,positive,7,12,food,positive,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of course the reason its so packed is because the food is so delicious!,food,positive,50,54,food,positive,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Staffs are not that friendly, but the taste covers all.",Staffs,negative,0,6,food,positive,3038,service,negative,taste,positive,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The jukebox plays everything from Italian Opera to The Strokes.,jukebox,positive,4,11,ambience,neutral,3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And I've been to many NYC delis.,,,,,anecdotes/miscellaneous,neutral,3708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place is always packed.,,,,,anecdotes/miscellaneous,neutral,2068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Much of the time it seems like they do not care about you.,,,,,service,negative,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plus they made a perfect martini.,martini,positive,25,32,food,positive,2742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.,food,neutral,34,38,food,neutral,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I've eaten thai many times, and am very familiar with the cuisine.",cuisine,neutral,58,65,anecdotes/miscellaneous,neutral,3183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The waiter was attentive.,waiter,positive,4,10,service,positive,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Their Margarita is best I've had since I've returned from Naples!,Margarita,positive,6,15,food,positive,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I highly recommend the restaurant based on our experience last night.,,,,,anecdotes/miscellaneous,positive,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The tastes makes your mouth water for more.,tastes,positive,4,10,food,positive,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I came into the city to try out this restaurant because a friend had recommended it to my husband.,,,,,anecdotes/miscellaneous,neutral,2214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,positive,6,15,food,positive,2261,service,positive,Purple Haze,conflict,55,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",tables,negative,4,10,food,neutral,2772,ambience,negative,menu,neutral,42,46,wine list,negative,93,102,,,,,,,,,,,,,,,,,price,negative,,,,,,,,,,
"All in all a wonderful experience, can't wait to come back.",,,,,anecdotes/miscellaneous,positive,3458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was actually aweful.,food,negative,4,8,food,negative,2979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"after dining at B.O.G over twenty times now, its official !",,,,,anecdotes/miscellaneous,neutral,3344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They are served with a free appetizer and the portions are perfect for lunch.,appetizer,positive,28,37,food,positive,2399,price,positive,portions,positive,46,54,served,neutral,9,15,lunch,neutral,71,76,,,,,,,,,,,,,,,,,,,,,,,,
There is actually space to breathe and the decor sets the tone for an intimate dinner.,space,positive,18,23,ambience,positive,3520,,,decor,positive,43,48,dinner,neutral,79,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,positive,74,81,service,positive,2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My husband and I both ordered the Steak, medium.",Steak,neutral,34,39,food,neutral,1902,anecdotes/miscellaneous,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",rice,negative,17,21,food,negative,341,,,sushi,negative,47,52,seasoning,negative,29,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.,sushi,positive,27,32,food,positive,1649,,,menu,positive,50,54,Japanese classic cuisine,positive,58,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The sushi is average and the prices are anything but.,sushi,neutral,4,9,food,neutral,1195,price,negative,prices,neutral,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.",spinach,positive,31,38,food,positive,3247,,,Shanghai low mein,positive,44,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner must have coem on this website to give himself credit.,Owner,neutral,0,5,anecdotes/miscellaneous,neutral,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turned out there was full service upstairs and sat down.,service,positive,26,33,anecdotes/miscellaneous,neutral,1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I would go back.,,,,,anecdotes/miscellaneous,positive,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitely will be back!,,,,,anecdotes/miscellaneous,positive,1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Several of the dim sum orders had about 6-8 pieces.,dim sum orders,neutral,15,29,food,neutral,2387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm not sure why these other reviewers are whining so much.,,,,,anecdotes/miscellaneous,neutral,3326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they live up to the thai way of living.,,,,,anecdotes/miscellaneous,neutral,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you have a dumpling fetish i suggest you try some here!,dumpling,positive,14,22,food,positive,2382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Three page wine menu, one page entree and horedevous.",wine menu,positive,11,20,food,positive,517,,,entree,positive,31,37,horedevous,positive,42,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",food,positive,4,8,food,positive,1399,service,positive,owner,positive,78,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The waiters and owners were nonchalant about this and promised to call the exterminator but weren't as dismayed or apologetic as I would have expected.,waiters,negative,4,11,service,negative,3488,,,owners,negative,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I live nearby and when they first opened, I ate there a lot.",,,,,anecdotes/miscellaneous,neutral,2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And the food was fantastic.,food,positive,8,12,food,positive,3117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is the kind of place you'd like to take all your friends to and still keep a secret.,,,,,anecdotes/miscellaneous,positive,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",drink,neutral,50,55,food,positive,1024,ambience,positive,hong-kong styled milk,positive,128,149,tea with tapioca pearls (hot),positive,154,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",chef,neutral,31,35,food,neutral,394,,,assortment of fish,neutral,51,69,Fatty Yellow Tail,neutral,80,97,Boton Shrimp,neutral,99,111,Sea Eel,neutral,142,149,Sea Urchin,neutral,15,25,Blue Fin Torro (Fatty Tuna),neutral,113,140,,,,,,,,,,,,
"They're also friendlier here, especially the owner, Kenny.",owner,positive,45,50,service,positive,1483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"While the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate.",room,negative,10,14,food,positive,2945,ambience,negative,plate,positive,120,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).,waterbugs,negative,64,73,anecdotes/miscellaneous,neutral,3487,ambience,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnie and her staff are the best crew you can find serving you.,crew,positive,34,38,service,positive,1701,,,staff,positive,15,20,serving,positive,52,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.",ambiance,positive,4,12,food,conflict,464,ambience,positive,food,negative,28,32,dishes,positive,61,67,eggplant parmesan,positive,96,113,veal in carozza chicken saltimbocca,positive,115,150,,,,,,,,,,,,,,,,,,,,
"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",host,neutral,3,7,service,neutral,2779,,,appetizers,neutral,18,28,waiter,neutral,51,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can even get packages of the chutneys to stock your fridge!,chutneys,positive,33,41,food,positive,1086,service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The bar has various selections and the mixed drink special is a catcher! 2 for 1's.,bar,positive,4,7,food,positive,2539,,,mixed drink special,positive,39,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slightly on the pricey side but worth it!,,,,,price,conflict,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If it isn't for the food (A+++), it must be the service or the ambience.",food,positive,20,24,food,positive,2580,service,positive,service,positive,48,55,ambience,positive,63,71,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
"During the course of the past 3 months, the chef and staff changed and it was not for the better.",chef,negative,44,48,service,negative,3341,food,negative,staff,negative,53,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I like the ambience, it's very dark and original.",ambience,positive,11,19,ambience,positive,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not the typical NYC gimmick theme restaurant.,,,,,ambience,positive,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We were exploring Grand Central and didn't want to eat in the food court.,,,,,anecdotes/miscellaneous,neutral,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Overall, not worth the money.",money,negative,23,28,price,negative,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place is not worth the prices.,prices,negative,28,34,price,negative,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We left after one drink.,drink,neutral,18,23,anecdotes/miscellaneous,neutral,2672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything that happened was not even up to mediocre.,,,,,anecdotes/miscellaneous,negative,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our last time there a few weeks ago was early at 5pm and it was very crowded and noisy.,,,,,ambience,negative,3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pick a bagel has the best bagels in the city.,bagels,positive,26,32,food,positive,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge.",atmosphere,conflict,23,33,ambience,conflict,1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's called Gnochi alla nona and is found under Chef Specials.,,,,,food,neutral,2547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,,,,,ambience,positive,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,waiting area,negative,68,80,ambience,negative,3666,,,seat,negative,89,93,bar,neutral,101,104,wait,negative,16,20,,,,,,,,,,,,,,,,,,,,,,,,
"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",food,negative,42,46,food,negative,2210,,,flavor,negative,123,129,dish,negative,137,141,spice,negative,98,103,,,,,,,,,,,,,,,,,,,,,,,,
The fried dumplings are GREAT!,fried dumplings,positive,4,19,food,positive,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place has the best Chinese style BBQ ribs in the city.,BBQ ribs,positive,38,46,food,positive,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ive been here so many times the waiters know my name.,waiters,neutral,32,39,anecdotes/miscellaneous,neutral,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The decor is very simple but comfortable.,decor,conflict,4,9,ambience,conflict,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've been frequenting The Tasting Room since it first arrived in the East Village and I've never been disappointed.,,,,,anecdotes/miscellaneous,positive,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",Argentinian Pizza,neutral,24,41,food,positive,3638,,,lunch,neutral,67,72,Pelligrino,positive,96,106,pizza,positive,110,115,goat cheese,positive,150,161,blue cheese,positive,172,183,,,,,,,,,,,,,,,,
Heartland Brewery is a great way to start or finish your day.,,,,,anecdotes/miscellaneous,positive,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.,kamasutra,positive,5,14,food,positive,3088,,,bombay cosmopolitan,positive,21,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is the perfect date spot for Williamsburg couples.,date spot,positive,20,29,anecdotes/miscellaneous,positive,3364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The dim sum here is only so-so.,dim sum,neutral,4,11,food,neutral,2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It was raining, and we figured why not?",,,,,anecdotes/miscellaneous,neutral,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,positive,27,31,food,positive,1411,price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Just straight up cheap, good food.",food,positive,29,33,food,positive,1566,price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Another welcome addition to the neighborhood.,,,,,anecdotes/miscellaneous,positive,3617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seating is ok even though sometimes there's alot of people.,Seating,neutral,0,7,ambience,conflict,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This time, I prefer not to go into detail.",,,,,anecdotes/miscellaneous,neutral,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare.",cost,negative,90,94,price,negative,1985,,,botle of wine,conflict,35,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Service was slow, but the people were friendly.",Service,negative,0,7,service,conflict,2320,,,people,positive,26,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steamed fresh so brought hot hot hot to your table.,,,,,food,positive,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The steak was very fatty and the sauce was overpowering and not very tasty.,steak,negative,4,9,food,negative,2991,,,sauce,negative,33,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My only problem is that you are literally sitting on top of the people next to you!,,,,,ambience,negative,2268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And affordable.,,,,,price,positive,3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",staff,positive,4,9,food,positive,2146,service,positive,food,positive,38,42,atmosphere,positive,60,70,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
i actually feel like i should keep it a secret.,,,,,anecdotes/miscellaneous,neutral,2438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).,food,conflict,4,8,food,conflict,2474,,,steak dish,negative,65,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not only would I not recommend Jimmy's restaurants to friends, I would strongly suggest they go anywhere but.",,,,,anecdotes/miscellaneous,negative,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They have a very diverse menu so its something for everybody.,menu,positive,25,29,food,positive,2714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haru on Park S is simply disgusting.,,,,,anecdotes/miscellaneous,negative,3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,staff,negative,4,9,service,negative,3672,,,sushi,neutral,32,37,check,neutral,110,115,dinner,neutral,42,48,bar,neutral,86,89,,,,,,,,,,,,,,,,,,,,
"As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city.",food spot,positive,89,98,anecdotes/miscellaneous,positive,2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I drop more dollar bills here than your uncle after a weekend at Scores.,,,,,anecdotes/miscellaneous,neutral,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The bagel was huge.,bagel,neutral,4,9,food,positive,2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go there to relax and feel like your somewhere else.,,,,,anecdotes/miscellaneous,positive,3078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the tuna of gari.,tuna,positive,8,12,food,positive,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,positive,11,18,food,conflict,182,,,chai,positive,20,24,chole,positive,34,39,dhosas,negative,49,55,dhal,negative,60,64,,,,,,,,,,,,,,,,,,,,
It was a very nice surprise.,,,,,anecdotes/miscellaneous,positive,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edible but really a ripoff at those prices given whats in the area.,prices,negative,36,42,food,neutral,1416,price,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",staff,conflict,4,9,service,conflict,196,ambience,negative,bathroom,negative,72,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am French and I really felt like home!!!,,,,,anecdotes/miscellaneous,positive,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have been to Casimir over 5 times and I have always had a great time there.,,,,,anecdotes/miscellaneous,positive,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The service was the only thing good about this restaurant.,service,positive,4,11,service,positive,2748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's usually packed for good reason, esp.",,,,,anecdotes/miscellaneous,neutral,2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service- friendly and attentive.,Service,positive,0,7,service,positive,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love going there!,,,,,anecdotes/miscellaneous,positive,2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I cannot recommend OG more highly if I tried - check it out for yourself.,,,,,anecdotes/miscellaneous,positive,2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.",,,,,anecdotes/miscellaneous,positive,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service was very prompt but slightly rushed.,Service,conflict,0,7,service,positive,3072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great food, great decor, great service.",food,positive,6,10,food,positive,1718,service,positive,decor,positive,18,23,service,positive,31,38,,,,,,,,,,,,,,,,,ambience,positive,,,,,,,,,,
"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",tables,neutral,14,20,service,negative,2207,,,space,neutral,77,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The palak paneer was standard, and I was not a fan of the malai kofta.",palak paneer,neutral,4,16,food,neutral,3095,,,malai kofta,neutral,58,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,dining,positive,98,104,price,positive,2002,,,price,positive,69,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yeah, sometimes the service can be slow.",service,negative,20,27,service,negative,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was no ambiance.,ambiance,negative,13,21,ambience,negative,2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service.",food,positive,114,118,anecdotes/miscellaneous,negative,474,,,service,positive,132,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,service,positive,4,11,food,positive,3662,service,positive,dish,positive,61,65,spring rolls,positive,98,110,cod with pineapple tempura,positive,118,144,,,,,,,,,,,,,,,,,,,,,,,,
But trust me it is so worth it.,,,,,anecdotes/miscellaneous,positive,1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is not a place for tourists or someone who has never dined in Bay Ridge.,,,,,anecdotes/miscellaneous,neutral,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THe perfect spot.,,,,,anecdotes/miscellaneous,positive,1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever.",bottle,neutral,37,43,price,negative,2471,,,waitress,negative,49,57,price,negative,97,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"They sell special sushi, everything have a topping, sauce and etc.",sushi,positive,18,23,food,positive,1192,,,sauce,positive,52,57,topping,positive,43,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,taste,negative,116,121,anecdotes/miscellaneous,negative,1373,ambience,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They never came back to refill our glasses again.,,,,,service,negative,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,positive,75,82,service,positive,2686,ambience,negative,place,negative,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The service was excellent and the food was delicious.,service,positive,4,11,food,positive,1952,service,positive,food,positive,34,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service was also very good.,Service,positive,0,7,service,positive,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I took my girlfriend there for her birthday last night and we had a relaxing, really good meal.",meal,positive,90,94,anecdotes/miscellaneous,positive,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",portions,negative,47,55,food,negative,3016,,,qualities,negative,63,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"They're rude at times, and not very friendly.",,,,,service,negative,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm happy to have Nosh in the neighborhood and the food is very comforting.,food,positive,51,55,food,positive,1528,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.",atmosphere,positive,5,15,ambience,positive,1162,,,music,positive,48,53,dress cod,negative,54,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"They kindly brought us more to see if it was better, but it was not!",,,,,food,negative,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love the food.,food,positive,9,13,food,positive,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,candles,positive,121,128,anecdotes/miscellaneous,positive,3634,ambience,positive,dinner,positive,71,77,surrounding,positive,97,108,pictures,positive,140,148,,,,,,,,,,,,,,,,,,,,,,,,
All the desserts the group tried got favorable reviews.,desserts,positive,8,16,food,positive,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There's something smooth about sipping sake upper east side style.,sake,positive,39,43,anecdotes/miscellaneous,positive,2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's a nice place to relax and have conversation.,place,positive,12,17,ambience,positive,2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place has got to be the best japanese restaurant in the new york area.,,,,,anecdotes/miscellaneous,positive,3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
